"country","prod2020"
"China","134254710"
"India","107590000"
"Russia","85896326"
"United States","49690680"
"Canada","35183000"
"France","30144110"
"Pakistan","25247511"
"Ukraine","24912350"
"Germany","22172100"
"Turkey","20500000"
"Argentina","19776942"
"Iran","15000000"
"Australia","14480217"
"Kazakhstan","14257950"
"Poland","12433210"
"United Kingdom","9658000"
"Egypt","9000000"
"Spain","8143510"
"Romania","6754530"
"Italy","6716180"
"Brazil","6347987"
"Iraq","6238392"
"Uzbekistan","6157844"
"Ethiopia","5478709"
"Afghanistan","5185000"
"Hungary","5121480"
"Bulgaria","4847940"
"Lithuania","4818750"
"Denmark","4070410"
"Sweden","3214300"
"Algeria","3106754"
"Mexico","2986689"
"Serbia","2873503"
"Syria","2848472"
"Belarus","2848391"
"Latvia","2659600"
"Morocco","2561898"
"Nepal","2185289"
"Slovakia","2133330"
"South Africa","2109100"
"Azerbaijan","1818665"
"Belgium","1741480"
"Austria","1652740"
"Turkmenistan","1320000"
"Paraguay","1302870"
"Chile","1230988"
"Greece","1095150"
"Tunisia","1042000"
"Bangladesh","1029000"
"Japan","949300"
"Netherlands","931830"
"Croatia","867530"
"Tajikistan","846000"
"Estonia","840520"
"Uruguay","776300"
"Sudan","750821"
"Finland","686620"
"Kyrgyzstan","629052"
"Moldova","569735"
"Saudi Arabia","554562"
"Switzerland","527496"
"New Zealand","453749"
"Mongolia","406129"
"Kenya","404700"
"Ireland","364920"
"Bosnia and Herzegovina","321804"
"Bolivia","311310"
"Norway","303000"
"North Macedonia","246031"
"Albania","233430"
"Zambia","191620"
"Peru","187851"
"Slovenia","158130"
"Zimbabwe","150000"
"Lebanon","140000"
"Armenia","131951"
"Libya","130000"
"Israel","116691"
"Myanmar","111215"
"Georgia","102400"
"Yemen","100860"
"North Korea","89000"
"Portugal","83500"
"Tanzania","77000"
"Luxembourg","72400"
"Nigeria","55000"
"Mali","37124"
"Palestine","34374"
"Cyprus","32270"
"Eritrea","25000"
"Uganda","25000"
"Jordan","21746"
"South Korea","16985"
"Mozambique","15000"
"Ecuador","14647"
"Rwanda","12811"
"Namibia","12000"
"DR Congo","9000"
"Mauritania","8942"
"Burundi","8610"
"Lesotho","8000"
"Colombia","6295"
"Taiwan","4710"
"Niger","4276"
"Angola","2955"
"Oman","2865"
"Montenegro","2339"
"Chad","1815"
"Bhutan","1623"
"Thailand","1423"
"Honduras","1244"
"Somalia","1043"
"Botswana","1028"
"Madagascar","1000"
"Guatemala","835"
"Eswatini","715"
"Malawi","697"
"Venezuela","684"
"Cameroon","437"
"Kuwait","68"
"New Caledonia","54"
"Qatar","2"
